"table","long_name","units","comment","questions_and_notes","output_variable_name","standard_name","unconfirmed_or_proposed_standard_name","unformatted_units","cell_methods","valid_min","valid_max","mean_absolute_min","mean_absolute_max","positive","type","CMOR_dimensions","CMOR_variable_name","realm","frequency","cell_measures","flag_values","flag_meanings"
"Omon","Rate of Change of Dissolved Inorganic Iron due to Biological Activity","mol m-2 s-1","vertical integral of net biological terms in time rate of change of dissolved inorganic iron","integral over upper 100 m only.","fbddtdife","tendency_of_ocean_mole_content_of_dissolved_inorganic_iron_due_to_biological_processes",,"mol m-2 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude time olayer100m","fbddtdife","ocnBgchem",,"area: areacello",,
"Omon","Rate of Change of Dissolved Inorganic Silicate due to Biological Activity","mol m-2 s-1","vertical integral of net biological terms in time rate of change of dissolved inorganic silicate","integral over upper 100 m only.","fbddtdisi","tendency_of_ocean_mole_content_of_dissolved_inorganic_silicon_due_to_biological_processes",,"mol m-2 s-1","time: mean area: where sea",,,,,,"real","longitude latitude time olayer100m","fbddtdisi","ocnBgchem",,"area: areacello",,
"Omon","Rate of Change of Biological Alkalinity due to Biological Activity","mol m-2 s-1","vertical integral of net biological terms in time rate of change of alkalinity","integral over upper 100 m only.","fbddtalk","integral_wrt_depth_of_tendency_of_sea_water_alkalinity_expressed_as_mole_equivalent_due_to_biological_processes",,"mol m-2 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude time olayer100m","fbddtalk","ocnBgchem",,"area: areacello",,
"Omon","Sea Water Mass","kg",,,"masso","sea_water_mass",,"kg","time: mean area: sum where sea",,,,,,"real","time","masso","ocean",,,,
"Omon","Sea Water Pressure at Sea floor","dbar",,,"pbo","sea_water_pressure_at_sea_floor",,"dbar","time: mean",,,,,,"real","longitude latitude time","pbo","ocean",,"area: areacello",,
"Omon","Sea Water Pressure at Sea Water Surface","dbar",,,"pso","sea_water_pressure_at_sea_water_surface",,"dbar","time: mean",,,,,,"real","longitude latitude time","pso","ocean",,"area: areacello",,
"Omon","Sea Water Volume","m3",,,"volo","sea_water_volume",,"m3","time: mean area: sum where sea",,,,,,"real","time","volo","ocean",,,,
"Omon","Sea Surface Height Above Geoid","m",,,"zos","sea_surface_height_above_geoid",,"m","time: mean",,,,,,"real","longitude latitude time","zos","ocean",,"area: areacello",,
"Omon","Square of Sea Surface Height Above Geoid","m2",,,"zossq","square_of_sea_surface_height_above_geoid",,"m2","time: mean",,,,,,"real","longitude latitude time","zossq","ocean",,"area: areacello",,
"Omon","Global Average Sea Level Change","m",,,"zosga","global_average_sea_level_change",,"m","time: mean area: mean where sea",,,,,,"real","time","zosga","ocean",,,,
"Omon","Global Average Steric Sea Level Change","m",,,"zossga","global_average_steric_sea_level_change",,"m","time: mean area: mean where sea",,,,,,"real","time","zossga","ocean",,,,
"Omon","Global Average Thermosteric Sea Level Change","m",,,"zostoga","global_average_thermosteric_sea_level_change",,"m","time: mean area: mean where sea",,,,,,"real","time","zostoga","ocean",,,,
"Omon","Sea Water Mass Per Unit Area","kg m-2",,,"masscello","sea_water_mass_per_unit_area",,"kg m-2","time: mean",,,,,,"real","longitude latitude olevel time","masscello","ocean",,"area: areacello volume: volcello",,
"Omon","Ocean Model Cell Thickness","m",,,"thkcello","cell_thickness",,"m","time: mean",,,,,,"real","longitude latitude olevel time","thkcello","ocean",,"area: areacello volume: volcello",,
"Omon","Sea Water Potential Temperature","K",,,"thetao","sea_water_potential_temperature",,"K","time: mean",,,,,,"real","longitude latitude olevel time","thetao","ocean",,"area: areacello volume: volcello",,
"Omon","Global Average Sea Water Potential Temperature","K",,,"thetaoga","sea_water_potential_temperature",,"K","time: mean area: mean where sea",,,,,,"real","time","thetaoga","ocean",,,,
"Omon","Sea Surface Temperature","K","this may differ from ""surface temperature"" in regions of sea ice.",,"tos","sea_surface_temperature",,"K","time: mean",,,,,,"real","longitude latitude time","tos","ocean",,"area: areacello",,
"Omon","Square of Sea Surface Temperature","K2",,,"tossq","square_of_sea_surface_temperature",,"K2","time: mean",,,,,,"real","longitude latitude time","tossq","ocean",,"area: areacello",,
"Omon","Sea Water Salinity","psu",,,"so","sea_water_salinity",,"psu","time: mean",,,,,,"real","longitude latitude olevel time","so","ocean",,"area: areacello volume: volcello",,
"Omon","Global Mean Sea Water Salinity","psu",,,"soga","sea_water_salinity",,"psu","time: mean area: mean where sea",,,,,,"real","time","soga","ocean",,,,
"Omon","Sea Surface Salinity","psu",,,"sos","sea_surface_salinity",,"psu","time: mean",,,,,,"real","longitude latitude time","sos","ocean",,"area: areacello",,
"Omon","Sea Water Potential Density","kg m-3",,,"rhopoto","sea_water_potential_density",,"kg m-3","time: mean",,,,,,"real","longitude latitude olevel time","rhopoto","ocean",,"area: areacello volume: volcello",,
"Omon","Sea Water Age Since Surface Contact","yr",,,"agessc","sea_water_age_since_surface_contact",,"yr","time: mean",,,,,,"real","longitude latitude olevel time","agessc","ocean",,"area: areacello volume: volcello",,
"Omon","Moles Per Unit Mass of CFC-11 in Sea Water","mol kg-1",,,"cfc11","moles_of_cfc11_per_unit_mass_in_sea_water",,"mol kg-1","time: mean",,,,,,"real","longitude latitude olevel time","cfc11","ocean",,"area: areacello volume: volcello",,
"Omon","Ocean Barotropic Mass Streamfunction","kg s-1","differs from CMIP3 because it includes mass.",,"msftbarot","ocean_barotropic_mass_streamfunction",,"kg s-1","time: mean",,,,,,"real","longitude latitude time","msftbarot","ocean",,"area: areacello",,
"Omon","Ocean Mixed Layer Thickness Defined by Sigma T","m",,,"mlotst","ocean_mixed_layer_thickness_defined_by_sigma_t",,"m","time: mean",,,,,,"real","longitude latitude time","mlotst","ocean",,"area: areacello",,
"Omon","Square of Ocean Mixed Layer Thickness Defined by Sigma T","m2",,,"mlotstsq","square_of_ocean_mixed_layer_thickness_defined_by_sigma_t",,"m2","time: mean",,,,,,"real","longitude latitude time","mlotstsq","ocean",,"area: areacello",,
"Omon","Mean Daily Maximum Ocean Mixed Layer Thickness Defined by Mixing Scheme","m",,,"omldamax","ocean_mixed_layer_thickness_defined_by_mixing_scheme",,"m","time: maximum within days time: mean over days",,,,,,"real","longitude latitude time","omldamax","ocean",,"area: areacello",,
"Omon","Monthly Maximum Ocean Mixed Layer Thickness Defined by Mixing Scheme","m",,,"omlmax","ocean_mixed_layer_thickness_defined_by_mixing_scheme",,"m","time: maximum",,,,,,"real","longitude latitude time","omlmax","ocean",,"area: areacello",,
"Omon","Sea Water X Velocity","m s-1",,,"uo","sea_water_x_velocity",,"m s-1","time: mean",,,,,,"real","longitude latitude olevel time","uo","ocean",,,,
"Omon","Sea Water Y Velocity","m s-1",,,"vo","sea_water_y_velocity",,"m s-1","time: mean",,,,,,"real","longitude latitude olevel time","vo","ocean",,,,
"Omon","Upward Ocean Mass Transport","kg s-1","differs from CMIP3, which only had upward velocity.",,"wmo","upward_ocean_mass_transport",,"kg s-1","time: mean",,,,,,"real","longitude latitude olevel time","wmo","ocean",,"area: areacello volume: volcello",,
"Omon","Square of Upward Ocean Mass Transport","kg2 s-2",,,"wmosq","square_of_upward_ocean_mass_transport",,"kg2 s-2","time: mean",,,,,,"real","longitude latitude olevel time","wmosq","ocean",,"area: areacello volume: volcello",,
"Omon","Ocean Mass X Transport","kg s-1",,,"umo","ocean_mass_x_transport",,"kg s-1","time: mean",,,,,,"real","longitude latitude olevel time","umo","ocean",,,,
"Omon","Ocean Mass Y Transport","kg s-1",,,"vmo","ocean_mass_y_transport",,"kg s-1","time: mean",,,,,,"real","longitude latitude olevel time","vmo","ocean",,,,
"Omon","Ocean Meridional Overturning Mass Streamfunction","kg s-1","differs from CMIP3 because it includes mass.","function of latitude, Z, basin. For a model with a cartesian latxlon grid, this is the same as the ""Ocean Y Overturning Mass Streamfunction"", listed a few lines down, which should in this case be omitted.  For other models, this transport should be approximated as the transport along zig-zag paths corresponding to latitudes with spacing between latitudes appropriate to the model's resolution.","msftmyz","ocean_meridional_overturning_mass_streamfunction",,"kg s-1","time: mean longitude: mean",,,,,,"real","latitude olevel basin time","msftmyz","ocean",,,,
"Omon","Ocean Meridional Overturning Mass Streamfunction","kg s-1",,"function of of latitude, rho, basin.  Also see note above.","msftmrhoz","ocean_meridional_overturning_mass_streamfunction",,"kg s-1","time: mean longitude: mean",,,,,,"real","latitude rho basin time","msftmrhoz","ocean",,,,
"Omon","Ocean Y Overturning Mass Streamfunction","kg s-1",,"function of Y, Z, basin.   Also see note above.","msftyyz","ocean_y_overturning_mass_streamfunction",,"kg s-1","time: mean longitude: mean",,,,,,"real","latitude olevel basin time","msftyyz","ocean",,,,
"Omon","Ocean Y Overturning Mass Streamfunction","kg s-1",,"function of Y, rho, basin.  Also see note above.","msftyrhoz","ocean_y_overturning_mass_streamfunction",,"kg s-1","time: mean longitude: mean",,,,,,"real","latitude rho basin time","msftyrhoz","ocean",,,,
"Omon","Ocean Meridional Overturning Mass Streamfunction due to Bolus Advection","kg s-1",,"function of latitude, Z, basin.   Also see note above.","msftmyzba","ocean_meridional_overturning_mass_streamfunction_due_to_bolus_advection",,"kg s-1","time: mean longitude: mean",,,,,,"real","latitude olevel basin time","msftmyzba","ocean",,,,
"Omon","Ocean Meridional Overturning Mass Streamfunction due to Bolus Advection","kg s-1",,"function of latitude, rho, basin.  Also see note above.","msftmrhozba","ocean_meridional_overturning_mass_streamfunction_due_to_bolus_advection",,"kg s-1","time: mean longitude: mean",,,,,,"real","latitude rho basin time","msftmrhozba","ocean",,,,
"Omon","Ocean Y Overturning Mass Streamfunction due to Bolus Advection","kg s-1",,"function of Y, Z, basin.  Also see note above.","msftyyzba","ocean_y_overturning_mass_streamfunction_due_to_bolus_advection",,"kg s-1","time: mean longitude: mean",,,,,,"real","latitude olevel basin time","msftyyzba","ocean",,,,
"Omon","Ocean Y Overturning Mass Streamfunction due to Bolus Advection","kg s-1",,"function of Y, rho, basin.  Also see note above.","msftyrhozba","ocean_y_overturning_mass_streamfunction_due_to_bolus_advection",,"kg s-1","time: mean longitude: mean",,,,,,"real","latitude rho basin time","msftyrhozba","ocean",,,,
"Omon","Northward Ocean Heat Transport","W",,"For a model with a cartesian latxlon grid, this is the same as the ""Ocean Heat Y Transport"", listed a few lines down, which should in this case be omitted.  For other models, this transport should be approximated as the transport along zig-zag paths corresponding to latitudes with spacing between latitudes appropriate to the model's resolution.","hfnorth","northward_ocean_heat_transport",,"W","time: mean",,,,,,"real","longitude latitude time","hfnorth","ocean",,,,
"Omon","Northward Ocean Heat Transport due to Bolus Advection","W",,"see note above.","hfnorthba","northward_ocean_heat_transport_due_to_bolus_advection",,"W","time: mean",,,,,,"real","longitude latitude time","hfnorthba","ocean",,,,
"Omon","Northward Ocean Heat Transport due to Diffusion","W",,"see note above.","hfnorthdiff","northward_ocean_heat_transport_due_to_diffusion",,"W","time: mean",,,,,,"real","longitude latitude time","hfnorthdiff","ocean",,,,
"Omon","Ocean Heat X Transport","W",,,"hfx","ocean_heat_x_transport",,"W","time: mean",,,,,,"real","longitude latitude time","hfx","ocean",,,,
"Omon","Ocean Heat Y Transport","W",,"For a model with a cartesian latxlon grid, this is the same as the ""Northward Ocean Heat Transport"", listed a few lines above, which should be saved instead of this.","hfy","ocean_heat_y_transport",,"W","time: mean",,,,,,"real","longitude latitude time","hfy","ocean",,,,
"Omon","Ocean Heat Y Transport due to Bolus Advection","W",,"see note above.","hfyba","ocean_heat_y_transport_due_to_bolus_advection",,"W","time: mean",,,,,,"real","longitude latitude time","hfyba","ocean",,,,
"Omon","Ocean Heat Y Transport due to Diffussion","W",,"see note above.","hfydiff","ocean_heat_y_transport_due_to_diffusion",,"W","time: mean",,,,,,"real","longitude latitude time","hfydiff","ocean",,,,
"Omon","Ocean Heat X Transport due to Bolus Advection","W",,,"hfxba","ocean_heat_x_transport_due_to_bolus_advection",,"W","time: mean",,,,,,"real","longitude latitude time","hfxba","ocean",,,,
"Omon","Ocean Heat X Transport due to Diffusion","W",,,"hfxdiff","ocean_heat_x_transport_due_to_diffusion",,"W","time: mean",,,,,,"real","longitude latitude time","hfxdiff","ocean",,,,
"Omon","Northward Ocean Heat Transport","W",,"This differs from a similar, previous entry in that northward transport across individual basins is called for, rather than the fully gridded fields..","hfbasin","northward_ocean_heat_transport",,"W","time: mean longitude: mean",,,,,,"real","latitude basin time","hfbasin","ocean",,,,
"Omon","Northward Ocean Heat Transport due to Bolus Advection","W",,,"hfbasinba","northward_ocean_heat_transport_due_to_bolus_advection",,"W","time: mean longitude: mean",,,,,,"real","latitude basin time","hfbasinba","ocean",,,,
"Omon","Northward Ocean Heat Transport due to Diffussion","W",,,"hfbasindiff","northward_ocean_heat_transport_due_to_diffusion",,"W","time: mean longitude: mean",,,,,,"real","latitude basin time","hfbasindiff","ocean",,,,
"Omon","Northward Ocean Heat Transport due to Gyre","W",,"function of latitude, basin","htovgyre","northward_ocean_heat_transport_due_to_gyre",,"W","time: mean longitude: mean",,,,,,"real","latitude basin time","htovgyre","ocean",,,,
"Omon","Northward Ocean Heat Transport due to Overturning","W",,"function of latitude, basin","htovovrt","northward_ocean_heat_transport_due_to_overturning",,"W","time: mean longitude: mean",,,,,,"real","latitude basin time","htovovrt","ocean",,,,
"Omon","Northward Ocean Salt Transport due to Gyre","kg s-1",,"function of latitude, basin","sltovgyre","northward_ocean_salt_transport_due_to_gyre",,"kg s-1","time: mean longitude: mean",,,,,,"real","latitude basin time","sltovgyre","ocean",,,,
"Omon","Northward Ocean Salt Transport due to Overturning","kg s-1",,"function of latitude, basin","sltovovrt","northward_ocean_salt_transport_due_to_overturning",,"kg s-1","time: mean longitude: mean",,,,,,"real","latitude basin time","sltovovrt","ocean",,,,
"Omon","Sea Water Transport","kg s-1",,,"mfo","sea_water_transport_across_line",,"kg s-1","time: mean",,,,,,"real","oline time","mfo","ocean",,,,
"Omon","Rainfall Flux where Ice Free Ocean over Sea","kg m-2 s-1","computed as the total mass of liquid water falling as liquid rain  into the ice-free portion of the ocean divided by the area of the ocean portion of the grid cell.",,"pr","rainfall_flux",,"kg m-2 s-1","time: mean area: mean where ice_free_sea over sea",,,,,,"real","longitude latitude time","pr","ocean",,"area: areacello",,
"Omon","Snowfall Flux where Ice Free Ocean over Sea","kg m-2 s-1","computed as the total mass per unit time of solid-phase precipitation falling into the ice-free portion of the ocean divided by the area of the ocean portion of the grid cell.   (Snowfall flux includes all types of solid-phase precipitation.)",,"prsn","snowfall_flux",,"kg m-2 s-1","time: mean area: mean where ice_free_sea over sea",,,,,,"real","longitude latitude time","prsn","ocean",,"area: areacello",,
